example,N,lambda,m,x,error,log10_error
6.2,80,10,2,7.262688651411763e-4,0.038723418897734043,-1.412026305731641
6.2,80,10,2,0.0610996176679372521,0.0422875683342786957,-1.37378728740848718
6.2,80,10,2,0.121904610647329838,0.044363871506878628,-1.35297056124452822
6.2,80,10,2,0.18287122985914447,0.0445960306567634626,-1.35070379466408694
6.2,80,10,2,0.243718433538229084,0.0426638505999083167,-1.36993995013309789
6.2,80,10,2,0.30415614166203242,0.0383006951902652726,-1.41679334314479668
6.2,80,10,2,0.363887356845368776,0.0313096021821732258,-1.50432245046627124
6.2,80,10,2,0.422610400550573643,0.0215770856406467664,-1.66600721468824444
6.2,80,10,2,0.48002124296868428,0.00908375219733803709,-2.04173472174386927
6.2,80,10,2,0.535815903544536807,0.00608897656497617319,-2.21545569743851684
6.2,80,10,2,0.589692898001301195,0.0237565214371246633,-1.62421715086510344
6.2,80,10,2,0.641355706884169907,0.0436334095955568313,-1.36018084911083408
6.2,80,10,2,0.690515240101286724,0.0653400990935102964,-1.18482021121760497
6.2,80,10,2,0.73689227170139973,0.0884140537430004918,-1.05347869677510101
6.2,80,10,2,0.780219819197104766,0.112324525471022585,-0.949525407462305886
